x,wpdf,fpdf,supdf,sppdf
2.2810031003100306,0.334198513931053,0.23244184839777823,0.20241439353312385,0.26247763311806427
2.282328232823282,0.33424018137281564,0.23247761135169373,0.20251571748419703,0.26257818937024097
2.2836533653365336,0.33428137389512796,0.2325131876418172,0.2026168636072843,0.26267844074275076
2.2849784978497847,0.3343220918782228,0.23254857740375826,0.20271783185062484,0.2627783872555903
2.286303630363036,0.3343623357036577,0.2325837807733236,0.20281862216296853,0.26287802892971973
2.2876287628762872,0.334402105754311,0.2326187978865155,0.20291923449357552,0.26297736578706205
2.2889538953895388,0.3344414024143743,0.2326536288795319,0.20301966879221495,0.2630763978505
2.2902790279027903,0.33448022606935,0.2326882738887649,0.20311992500916448,0.2631751251438752
2.2916041604160413,0.33451857710604527,0.23272273305080002,0.20322000309520952,0.2632735476919849
2.292929292929293,0.33455645591256616,0.2327570065024159,0.20331990300164257,0.2633716655205814
2.294254425442544,0.33459386287831444,0.23279109438058285,0.20341962468026212,0.2634694786563688
2.2955795579557954,0.33463079839398163,0.2328249968224623,0.20351916808337242,0.2635669871270022
2.296904690469047,0.33466726285154424,0.23285871396540603,0.20361853316378212,0.2636641909610849
2.298229822982298,0.33470325664425804,0.2328922459469553,0.20371771987480375,0.26376109018816674
2.2995549554955494,0.33473878016665476,0.23292559290484,0.20381672817025348,0.2638576848387421
2.3008800880088005,0.3347738338145361,0.23295875497697802,0.20391555800444933,0.26395397494424794
2.302205220522052,0.33480841798496835,0.23299173230147407,0.20401420933221134,0.26404996053706226
2.3035303530353035,0.3348425330762788,0.23302452501661913,0.20411268210886027,0.2641456416505012
2.3048554855485546,0.3348761794880494,0.23305713326089006,0.20421097629021687,0.26424101831881797
2.306180618061806,0.3349093576211127,0.23308955717294766,0.20430909183260165,0.26433609057720026
2.307505750575057,0.3349420678775473,0.23312179689163712,0.2044070286928333,0.26443085846176867
2.3088308830883086,0.33497431066067185,0.2331538525559862,0.20450478682822867,0.2645253220095751
2.31015601560156,0.3350060863750402,0.23318572430520532,0.20460236619660135,0.26461948125859946
2.311481148114811,0.33503739542643846,0.23321741227868592,0.20469976675626156,0.26471333624774923
2.3128062806280627,0.33506823822187703,0.23324891661600042,0.20479698846601488,0.26480688701685656
